id,name,symbol,slug,cmc_rank,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,pull_timestamp
2280,Filecoin,FIL,filecoin,62,1.31023491012276,100579180.62015547,954196836.6613121,-0.52619505,1.57661913,-2.74825638,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
7950,Flare,FLR,flare,63,0.011567509822153753,4347999.05330043,931236025.2055678,0.1881342,1.89411385,-8.00647019,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
2634,XDC Network,XDC,xdc-network,64,0.05001878042070984,31583663.14676849,926620588.2346034,0.09767548,7.02115918,3.06155258,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
3077,VeChain,VET,vechain,65,0.010632993031287756,20772212.97692401,914278343.6300317,-0.23850753,-0.8898853,-8.39970259,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
3155,Quant,QNT,quant,66,74.23872962524126,13868113.65664465,896264732.2183759,-0.54604511,-0.52769501,-6.97286351,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
4269,GateToken,GT,gatetoken,67,10.295387035898926,3288350.03687442,826595798.770805,0.08186546,2.70322,-1.35676658,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
19891,USDD,USDD,usdd,68,0.9993899913735379,3715476.97304606,800858782.0444952,0.00805776,-0.04555832,-0.07448574,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
36410,MYX Finance,MYX,myx-finance,69,2.902789603529313,31441983.42851854,729974439.8802819,-0.5011888,0.98172628,-6.38971345,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
23149,Sei,SEI,sei,70,0.11080639672037505,46502562.23857111,719256632.9215004,-0.7069863,-1.76779493,-14.01726347,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
36507,Pump.fun,PUMP,pump-fun,71,0.0019757311688138103,89365465.77403586,699408833.7600888,0.58686829,-1.26497202,-28.73024423,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
23095,Bonk,BONK,bonk1,72,8.248121263242931e-06,52253692.57444795,683717074.4013371,-0.22211194,0.12151422,-14.00448526,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
5690,Render,RENDER,render,73,1.2836699802790623,29415020.29923813,665691504.0043621,0.08525068,-2.55551978,-17.72179581,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
7186,PancakeSwap,CAKE,pancakeswap,74,1.8443559938240368,34542692.48672042,620159857.6564054,0.03948134,0.21685401,-18.43840831,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
29210,Jupiter,JUP,jupiter-ag,75,0.19475963918938632,26995853.14896396,610950636.7479762,0.1204754,1.26673832,-3.92624613,2025-12-20 16:38:00+00:00,2025-12-20 16:40:09.792000+00:00
