id,name,symbol,slug,cmc_rank,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,pull_timestamp
36148,World Liberty Financial USD,USD1,usd1,44,0.9998014890998558,454170315.8154131,2166984975.886091,0.02242734,0.01430929,-0.17598533,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
4030,Algorand,ALGO,algorand,45,0.24813478894789237,96730166.47472052,2158088698.6667423,-0.35665205,2.09483637,-6.37527499,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
23095,Bonk,BONK,bonk1,46,2.662014113372203e-05,409269378.31764925,2137477997.3577683,-0.5026698,1.34295422,-16.92372112,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
11841,Arbitrum,ARB,arbitrum,47,0.40942048167405143,217175469.67283174,2108613590.0513885,0.2984027,6.93546471,-5.27156747,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
4269,GateToken,GT,gatetoken,48,16.967813664681632,5396659.70328236,2085523954.6004543,-0.48976899,-0.13081773,-5.31745529,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
3077,VeChain,VET,vechain,49,0.02379395891440385,43352744.66959067,2045924537.0188613,0.36508131,2.81256235,-3.60648557,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
3794,Cosmos,ATOM,cosmos,50,4.328195118433477,116182682.42391756,1993805458.0751436,0.21571962,1.43003284,-6.52900551,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
5690,Render,RENDER,render,51,3.70494688916431,58589868.50936655,1919639571.1016076,0.21582071,3.28652325,-8.51190149,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
13502,Worldcoin,WLD,worldcoin-org,52,1.001464236132897,160486043.8204715,1832768924.671509,0.27304323,2.6325833,-10.35277053,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
35626,Story,IP,story-protocol,53,6.193477985658795,51164811.66212432,1829658933.8284838,0.92746662,0.78630138,10.22053228,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
35336,OFFICIAL TRUMP,TRUMP,official-trump,54,9.03226626852693,208244117.7389424,1806446916.7973375,0.27600822,2.46020736,-7.07812363,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
23149,Sei,SEI,sei,55,0.3056551566496486,190484646.30533218,1767238682.6313334,1.0424346,9.04904774,-4.84555077,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
33038,Sky,SKY,sky,56,0.08238909029176902,2019545.92350846,1750745858.1227508,0.33420494,4.16603992,-8.45135276,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
7950,Flare,FLR,flare,57,0.023684325005481288,16486354.7881247,1692239150.8419542,-0.54051813,2.06926632,-2.41108845,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
2280,Filecoin,FIL,filecoin,58,2.432222147005676,123770830.01971738,1662972566.2525213,0.06568985,3.77167224,-6.23552359,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
28081,SPX6900,SPX,spx6900,59,1.7367141103661607,96995705.4639401,1616868836.177963,-1.03791308,7.03281318,-18.58030203,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
3773,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance,60,0.6677770117469065,74155167.71020965,1588109626.4958632,0.32910564,5.11319272,-5.9505754,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
2634,XDC Network,XDC,xdc-network,61,0.0956547817579813,33203448.07705137,1552492176.9989529,0.16813335,2.72570021,6.27130007,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
29210,Jupiter,JUP,jupiter-ag,62,0.4858497435824918,55435679.81084069,1485860774.9613276,0.39757755,4.06494999,-10.74609392,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
23635,Four,FORM,binaryx-new,63,3.816553042148991,11489001.01560326,1457416634.3191087,-0.07168011,0.89498334,12.60398889,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
26081,First Digital USD,FDUSD,first-digital-usd,64,0.9982858039677887,6328602383.330594,1449976140.8284814,0.01681847,0.0021075,0.04444929,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
7226,Injective,INJ,injective,65,13.760276356902056,147497086.2378613,1375627698.8996055,0.05134715,5.85351659,-5.65049957,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
2087,KuCoin Token,KCS,kucoin-token,66,10.693347357879743,5951944.05157776,1362566998.4471548,0.45522935,1.76643433,-6.93918756,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
3155,Quant,QNT,quant,67,112.02936457617076,19985463.18915917,1352501166.8345907,0.00846534,0.84829725,-7.88969077,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
6538,Curve DAO Token,CRV,curve-dao-token,68,0.9423088365519324,301327841.0555453,1290447844.7620878,-0.0784632,3.56128742,-7.44172279,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
4847,Stacks,STX,stacks,69,0.7138117862131246,30279523.79579218,1277592407.0372133,0.25120903,3.64442072,-9.36430534,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
22861,Celestia,TIA,celestia,70,1.7172926455377826,92521715.12430333,1260124920.36407,0.78499221,4.40973968,-9.19003268,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
11840,Optimism,OP,optimism-ethereum,71,0.7129515517522034,189365475.1639849,1249224311.565807,0.41532752,8.75569558,-5.05774903,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
7334,Conflux,CFX,conflux-network,72,0.2191368283705657,269646544.6849568,1122153123.1408029,-0.61479673,1.65475646,12.28586548,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
36507,Pump.fun,PUMP,pump-fun,73,0.0031273162036463257,469022064.75708544,1107069936.0907993,3.37716125,6.03530247,31.40886451,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
10804,FLOKI,FLOKI,floki-inu,74,0.00011176501719459735,112582935.11105451,1066292220.273421,-0.09824875,4.05515324,-6.6759878,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
33597,Fartcoin,FARTCOIN,fartcoin,75,1.023647862565567,200345743.64838913,1023646077.3236946,0.48285487,10.18989941,-10.20012965,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
13855,Ethereum Name Service,ENS,ethereum-name-service,76,27.080182572377105,99773168.66871478,990503330.8141503,0.09021033,6.36345661,-6.37870884,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
10603,Immutable,IMX,immutable-x,77,0.5201508918832312,31781740.87073125,983555219.1752175,-0.13588808,4.1183525,-6.47875729,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
6719,The Graph,GRT,the-graph,78,0.09382562438275567,40122252.99768585,977607551.902533,-0.06977206,2.28306388,-8.4403027,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
27772,PayPal USD,PYUSD,paypal-usd,79,0.9996746423594592,21725891.16728195,957436739.7786933,0.00377166,0.00366423,0.00022412,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
4705,PAX Gold,PAXG,pax-gold,80,3376.018147789819,74350904.68080701,956696188.1455681,0.07372838,0.3985006,1.56921518,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
28752,dogwifhat,WIF,dogwifhat,81,0.9280599319439429,198297429.88119757,926983501.9129299,0.34462076,3.33958972,-10.1125097,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
7186,PancakeSwap,CAKE,pancakeswap,82,2.6762838271334575,71954469.21747199,922010312.3029538,0.09300063,3.05684678,-8.72728594,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
35491,MemeCore,M,memecore,83,0.5763669527336145,40931722.83323412,910259040.8350769,-2.1103279,31.46570926,75.93791348,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
32880,Kaia,KAIA,kaia,84,0.14752259890209574,44731929.047045,897719156.0232575,0.45567029,6.39871865,-7.93147709,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
